event_change,start_time,end_time,duration,state,most_implicated_var
521,2017-01-07 23:25:00,2017-01-07 23:30:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
523,2017-01-07 23:40:00,2017-01-07 23:40:00,0.0,Degraded,
525,2017-01-08 01:25:00,2017-01-08 01:25:00,0.0,Degraded,
527,2017-01-08 02:30:00,2017-01-08 02:30:00,0.0,Degraded,
529,2017-01-08 03:10:00,2017-01-08 03:10:00,0.0,Degraded,
531,2017-01-08 03:50:00,2017-01-08 03:50:00,0.0,Degraded,
533,2017-01-08 04:15:00,2017-01-08 04:15:00,0.0,Degraded,
535,2017-01-08 04:35:00,2017-01-08 04:35:00,0.0,Degraded,
537,2017-01-08 06:05:00,2017-01-08 06:05:00,0.0,Degraded,
539,2017-01-08 07:40:00,2017-01-08 07:40:00,0.0,Degraded,
541,2017-01-08 08:40:00,2017-01-08 08:40:00,0.0,Degraded,
543,2017-01-08 09:05:00,2017-01-08 09:05:00,0.0,Degraded,
545,2017-01-08 09:15:00,2017-01-08 09:15:00,0.0,Degraded,
547,2017-01-08 10:10:00,2017-01-08 10:10:00,0.0,Degraded,
549,2017-01-08 11:55:00,2017-01-08 11:55:00,0.0,Degraded,
551,2017-01-08 17:35:00,2017-01-08 17:35:00,0.0,Degraded,
553,2017-01-08 18:25:00,2017-01-08 18:25:00,0.0,Degraded,
555,2017-01-08 18:45:00,2017-01-08 18:45:00,0.0,Degraded,
557,2017-01-08 20:35:00,2017-01-08 20:35:00,0.0,Degraded,
559,2017-01-08 21:40:00,2017-01-08 21:40:00,0.0,Degraded,
561,2017-01-09 02:05:00,2017-01-09 02:05:00,0.0,Degraded,
563,2017-01-09 08:30:00,2017-01-09 08:30:00,0.0,Degraded,
565,2017-01-09 09:25:00,2017-01-09 09:25:00,0.0,Degraded,
567,2017-01-09 10:15:00,2017-01-09 10:15:00,0.0,Degraded,
569,2017-01-09 15:30:00,2017-01-09 15:30:00,0.0,Degraded,
571,2017-01-09 15:50:00,2017-01-09 15:50:00,0.0,Degraded,
573,2017-01-09 17:50:00,2017-01-09 17:50:00,0.0,Degraded,
575,2017-01-09 20:55:00,2017-01-09 20:55:00,0.0,Degraded,
577,2017-01-09 21:30:00,2017-01-09 21:30:00,0.0,Degraded,
579,2017-01-10 02:15:00,2017-01-10 02:15:00,0.0,Degraded,
581,2017-01-10 03:30:00,2017-01-10 03:30:00,0.0,Degraded,
583,2017-01-10 04:35:00,2017-01-10 04:35:00,0.0,Degraded,
585,2017-01-10 05:00:00,2017-01-10 05:00:00,0.0,Degraded,
587,2017-01-10 06:25:00,2017-01-10 06:25:00,0.0,Degraded,
589,2017-01-10 08:05:00,2017-01-10 08:05:00,0.0,Degraded,
591,2017-01-10 10:45:00,2017-01-10 10:50:00,0.08333333333333333,Degraded,Cyclone_cone_draft
593,2017-01-10 13:40:00,2017-01-10 13:40:00,0.0,Degraded,
595,2017-01-10 15:25:00,2017-01-10 15:25:00,0.0,Degraded,
597,2017-01-10 17:05:00,2017-01-10 17:05:00,0.0,Degraded,
599,2017-01-10 19:25:00,2017-01-10 19:25:00,0.0,Degraded,
601,2017-01-10 22:40:00,2017-01-10 22:40:00,0.0,Degraded,
603,2017-01-11 01:55:00,2017-01-11 01:55:00,0.0,Degraded,
605,2017-01-11 05:55:00,2017-01-11 05:55:00,0.0,Degraded,
607,2017-01-11 06:40:00,2017-01-11 06:40:00,0.0,Degraded,
609,2017-01-11 08:45:00,2017-01-11 08:45:00,0.0,Degraded,
611,2017-01-11 08:55:00,2017-01-11 08:55:00,0.0,Degraded,
613,2017-01-11 11:05:00,2017-01-11 11:15:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
615,2017-01-11 11:30:00,2017-01-11 11:30:00,0.0,Degraded,
617,2017-01-11 18:05:00,2017-01-11 18:05:00,0.0,Degraded,
619,2017-01-11 20:30:00,2017-01-11 20:30:00,0.0,Degraded,
621,2017-01-11 22:10:00,2017-01-11 22:10:00,0.0,Degraded,
623,2017-01-12 03:00:00,2017-01-12 03:00:00,0.0,Degraded,
625,2017-01-12 05:30:00,2017-01-12 05:30:00,0.0,Degraded,
627,2017-01-12 05:40:00,2017-01-12 05:40:00,0.0,Degraded,
629,2017-01-12 11:05:00,2017-01-12 11:05:00,0.0,Degraded,
631,2017-01-12 18:30:00,2017-01-12 18:30:00,0.0,Degraded,
633,2017-01-12 20:55:00,2017-01-12 20:55:00,0.0,Degraded,
635,2017-01-12 23:15:00,2017-01-12 23:15:00,0.0,Degraded,
637,2017-01-13 05:05:00,2017-01-13 05:05:00,0.0,Degraded,
639,2017-01-13 06:35:00,2017-01-13 06:35:00,0.0,Degraded,
641,2017-01-13 06:45:00,2017-01-13 06:45:00,0.0,Degraded,
643,2017-01-13 08:25:00,2017-01-13 08:25:00,0.0,Degraded,
645,2017-01-13 14:30:00,2017-01-13 14:30:00,0.0,Degraded,
647,2017-01-13 16:45:00,2017-01-13 16:45:00,0.0,Degraded,
649,2017-01-13 16:55:00,2017-01-13 16:55:00,0.0,Degraded,
